PCIS Permit #,Status,Status Date,Permit Type,Permit Sub-Type,Issue Date,Address Start,Address End,Street Direction,Street Name,Street Suffix,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,Floor Area-L.A. Building Code Definition,Council District,Latitude/Longitude
15014-20000-05388,Issued,12/10/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/10/2015,22121,22121,W,SAN MIGUEL,ST,$35000.00,0,,1,R1-1,99,3,"(34.15866, -118.60865)"
14014-20000-02756,Issued,06/26/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/26/2014,15132,15132,W,HESBY,ST,$30000.00,300,,1,R1-1,300,4,"(34.16198, -118.4631)"
14010-30000-00174,Issued,03/25/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/25/2014,6615,6615,N,COSTELLO,AVE,$400000.00,3778,1,2,R1-1,3493,2,"(34.19086, -118.43793)"
15016-20000-20642,Issued,10/07/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/07/2015,10350,10350,W,LOUISIANA,AVE,$100000.00,0,,0,R1-1-O,0,5,"(34.0527, -118.41954)"
15010-20000-04277,Issued,03/07/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/07/2016,13031,13031,W,BLOOMFIELD,ST,$640000.00,4366,1,2,R1-1-RFA-RIO,5226,2,"(34.14943, -118.41712)"
16016-20000-02837,Issued,02/09/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/09/2016,7747,7749,N,VINELAND,AVE,$900.00,43,,0,R2-1,43,6,
15014-20000-04779,Issued,04/14/2016 12:00:00 AM,Bldg-Addition,Commercial,04/14/2016,14123,14123,W,VICTORY,BLVD,$14400.00,366,,1,[Q]CR-1VL,366,6,"(34.18683, -118.44088)"
14010-20000-02622,Issued,04/04/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/04/2016,6922,6922,N,BALBOA,BLVD,$251000.00,1994,1,3,R1-1,2420,6,
15010-10000-01022,Issued,08/06/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/06/2015,11540,11540,W,AMANDA,DR,$470000.00,4862,1,3,RE15-1-H,5404,2,"(34.13562, -118.38493)"
15010-20000-00560,Issued,12/01/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/01/2015,12761,12761,W,CUMPSTON,ST,$700000.00,4451,1,2,R1-1,4976,2,"(34.16962, -118.41131)"
15014-20000-00150,Issued,02/05/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/05/2015,11759,11759,N,DRONFIELD,AVE,$25000.00,522,,1,R1-1,482,7,"(34.28357, -118.41076)"
15010-20000-01454,Issued,03/04/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/04/2016,11330,11330,W,BELLAGIO,ROAD,$25000.00,686,0,1,RE15-1-H,686,5,"(34.0803, -118.46295)"
15010-10000-01630,Issued,11/12/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/12/2015,4719,4719,W,WILSHIRE,BLVD,$217240.00,1911,1,3,CR(PKM)-1,2575,4,
16014-20000-00457,Issued,02/09/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/09/2016,3631,3631,S,GLOBE,AVE,$42000.00,462,,0,R1-1,462,11,"(34.01465, -118.42114)"
14010-10000-02703,Issued,06/22/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,06/22/2015,1613,1613,N,EASTERLY,TER,$500000.00,2279,1,3,R1-1VL,2781,13,"(34.08809, -118.26843)"
15010-10000-00685,Issued,12/07/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/07/2015,12637,12637,W,SUNRISE,PL,$468270.00,3148,1,3,C2(PV),4036,11,"(33.97695, -118.41348)"
14014-20000-02694,Issued,10/14/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/14/2014,6355,6355,N,BLUCHER,AVE,$17000.00,160,,0,R1-1,160,6,"(34.18625, -118.47299)"
16014-30000-01701,Issued,04/21/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/21/2016,1029,1029,S,KENISTON,AVE,$65000.00,499,0,1,R1-1-O,499,10,"(34.05606, -118.33667)"
14014-70000-04763,Issued,11/24/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/24/2014,208,208,W,106TH,ST,$26400.00,1046,,1,R2-1,230,8,"(33.94001, -118.27666)"
14014-20000-04678,Issued,12/15/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/15/2014,1621,1621,W,BAXTER,ST,$88500.00,1238,,2,R2-1VL,0,13,"(34.08983, -118.25069)"
15014-30000-04627,Issued,01/14/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/14/2016,3014,3014,S,PATRICIA,AVE,$375000.00,3396,0,2,R1-1,1374,5,"(34.03604, -118.41259)"
13014-20000-02760,Issued,07/25/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/25/2013,8900,8900,N,BALCOM,AVE,$10000.00,,,0,RA-1,465,12,"(34.23275, -118.52113)"
15014-20000-00626,Issued,02/17/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/17/2015,16031,16031,W,SAN FERNANDO MISSION,BLVD,$33000.00,325,0,0,RS-1,325,12,"(34.27204, -118.48149)"
15014-20000-00679,Issued,04/03/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/03/2015,4707,4707,N,IRVINE,AVE,$60000.00,538,0,1,R1-1,538,2,"(34.15619, -118.38567)"
15010-20000-03774,Issued,01/20/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,01/20/2016,12020,12020,N,RICASOLI,WAY,$675000.00,3933,1,2,RE-1,4525,12,
13014-10000-03293,Issued,09/19/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/19/2013,940,940,W,VENEZIA,AVE,$70000.00,1126,,0,R2-1,200,11,"(33.99475, -118.45594)"
13014-20000-01696,Issued,07/12/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/12/2013,854,854,N,KODAK,DR,$50000.00,1100,,1,R2-1VL,75,13,"(34.08428, -118.27987)"
13014-20000-01621,Issued,05/21/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/03/2013,2926,2926,N,NICADA,DR,$120000.00,1022.5,,2,RE15-1-H-RPD,1022.5,5,"(34.12564, -118.44768)"
15014-10000-02694,Issued,10/29/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/29/2015,8827,8827,S,PERSHING,DR,,2684,0,2,R2-1,1206,11,"(33.95307, -118.44037)"
15014-10000-04378,Issued,11/23/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/23/2015,8045,8045,N,LONGRIDGE,AVE,$20000.00,2997,0,0,RS-1,475,2,"(34.21722, -118.42183)"
15010-30000-04552,Issued,02/18/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,02/18/2016,3718,3718,S,BEETHOVEN,ST,$485676.00,2720.4,1,2,R1-1,3011.1,11,"(34.00215, -118.44284)"
13014-10000-04401,Issued,12/05/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/05/2013,3442,3442,N,VERDUGO VISTA,TER,$42600.00,1590,,2,R1-1,426,1,"(34.11781, -118.22046)"
16014-20000-00552,Issued,03/22/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/22/2016,3432,3432,N,ADINA,DR,$150000.00,1276,0,0,RE15-1-H,180,4,"(34.12869, -118.35309)"
14014-20000-04400,Issued,11/24/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/24/2015,550,550,S,WINDSOR,BLVD,$90000.00,530,,2,RE15-1-HPOZ,530,4,"(34.06396, -118.32121)"
14014-30000-01931,Issued,05/26/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/26/2015,1432,1432,N,DEVLIN,DR,$300000.00,4539,,1,RE15-1-H,1719,4,"(34.09497, -118.3872)"
16014-20000-00328,Issued,04/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/01/2016,4555,4555,N,DENSMORE,AVE,$20000.00,193,,0,R1-1,193,5,"(34.15405, -118.4777)"
14014-10000-05263,Issued,02/25/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/25/2015,1955,1955,N,WILTON,PL,$12000.00,373,0,2,R1-1-HPOZ,373,4,"(34.1068, -118.31383)"
15014-30000-05526,Issued,02/17/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/17/2016,9653,9653,W,HIGH RIDGE,DR,$380000.00,4883,0,2,RE40-1-H,1616,5,"(34.11394, -118.42551)"
14014-20000-00572,Issued,02/14/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/14/2014,6217,6217,N,ORION,AVE,$2000.00,0,,0,RE11-1,34,6,"(34.18355, -118.47006)"
15014-20000-01171,Issued,04/20/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/20/2015,3283,3283,S,MALCOLM,AVE,$45000.00,442,0,1,R1-1,442,5,"(34.02733, -118.41699)"
15014-20000-05654,Issued,02/18/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/18/2016,300,300,S,LUCERNE,BLVD,$68000.00,1181,,0,RE11-1-HPOZ,595,4,"(34.06866, -118.32419)"
14010-10000-02000,Issued,11/25/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,11/25/2014,521,521,E,VERNON,AVE,$434573.00,3132,1,2,RD1.5-1,4048,11,"(33.99625, -118.47127)"
13014-70000-01891,Issued,05/09/2014 12:00:00 AM,Bldg-Addition,Commercial,05/09/2014,1309,1309,S,HOOVER,ST,$100000.00,22106,,0,C2-1VL,828,1,"(34.04692, -118.28446)"
12014-10000-03742,Issued,01/28/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/28/2013,156,156,S,PLYMOUTH,BLVD,$25000.00,3723,,2,RE9-1-HPOZ,140,4,"(34.07176, -118.32125)"
12010-10000-00443,Issued,07/03/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,07/03/2013,1479,1479,N,VIA CRESTA,,$908000.00,6632,,1,RE40-1-H,6632,11,"(34.05639, -118.53621)"
16014-20000-00146,Issued,01/15/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/15/2016,8795,8795,N,MURIETTA,AVE,$11000.00,491,,0,R1-1,491,6,"(34.23014, -118.44213)"
14014-10000-02580,Issued,09/04/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/04/2014,1148,1148,N,NAPOLI,DR,$500000.00,6835,,0,RE11-1,1894,11,"(34.04882, -118.50354)"
12014-20000-03848,Issued,02/05/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/05/2013,2260,2260,N,MARAVILLA,DR,$65000.00,307,0,0,RE9-1,307,4,"(34.11146, -118.34328)"
16014-10000-00038,Issued,04/05/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/05/2016,9230,9230,W,HAZEN,DR,$430000.00,3831,,2,RE20-1,3831,4,"(34.11534, -118.39565)"
14010-30000-03861,Issued,12/24/2014 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/24/2014,147,147,S,PLYMOUTH,BLVD,$20000.00,,,1,RE9-1-HPOZ,400,4,"(34.07208, -118.32137)"
15014-30000-03789,Issued,10/06/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/06/2015,12304,12304,W,GREENE,AVE,$43500.00,1194,,1,R1-1,402,11,"(33.99268, -118.421)"
15014-20003-03327,Issued,03/04/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/04/2016,12104,12104,W,ALLIN,ST,$64000.00,584,,2,R1-1,584,11,"(33.99009, -118.41477)"
14010-10000-01966,Issued,05/05/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/05/2015,321,321,S,SERRANO,AVE,$199318.00,1803,1,3,R3-1,2116,10,"(34.06827, -118.30692)"
14010-20000-01893,Issued,08/10/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,08/10/2015,23830,23830,W,GILMORE,ST,$10000.00,0,0,1,RS-1,345,12,"(34.18721, -118.64547)"
14010-30000-01875,Issued,10/01/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/01/2015,446,446,N,BOWLING GREEN,WAY,$1995000.00,5623,1,2,R1-1,5646,11,"(34.06676, -118.47728)"
13010-20002-03596,Issued,04/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/01/2016,21343,21343,N,GOLONDRINA,ST,$3000.00,2825,,0,R1-1,26,3,"(34.14683, -118.59455)"
12014-10000-04168,Issued,03/18/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/18/2013,5339,5339,N,HARTWICK,ST,$50000.00,437,0,0,R1-1,437,14,"(34.14404, -118.19709)"
15010-10000-00336,Issued,03/18/2015 12:00:00 AM,Bldg-New,Commercial,03/18/2015,100,100,,WORLD,WAY,$500000.00,5000,,1,LAX,5000,11,"(33.94572, -118.40095)"
15014-20001-03637,Issued,11/16/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,11/16/2015,15460,15460,W,ALBRIGHT,ST,$2000.00,6869,0,2,R1-1,220,11,"(34.05057, -118.5274)"
15014-10000-01628,Issued,06/24/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,06/24/2015,7785,7785,W,FIRENZE,AVE,$34351.00,3903.5,0,2,RE11-1,61,4,"(34.12298, -118.36621)"
14014-10000-04060,Issued,09/30/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/30/2014,3543,3543,N,CROWNRIDGE,DR,$20000.00,3604,,1,RE15-1-H,139,5,"(34.13493, -118.47476)"
14014-70000-01388,Issued,03/04/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/04/2015,2950,2950,S,5TH,AVE,$46000.00,483,,0,RD3-1-O-HPOZ,483,10,"(34.02804, -118.32226)"
13010-10000-00042,Issued,06/08/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,06/08/2015,4643,4645,N,VERDUGO,ROAD,$200000.00,1562,2,2,RD1.5-1-CDO,2272,14,
13014-20000-01836,Issued,05/16/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,05/16/2013,2816,2816,N,DENBY,AVE,$50000.00,492,,0,R2-1VL,492,13,"(34.10269, -118.24515)"
13014-10000-01383,Issued,08/14/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,08/14/2013,3627,3627,N,BUENA PARK,DR,$58400.00,3282,,0,R1-1,498,2,"(34.13711, -118.39088)"
15010-20000-01292,Issued,09/24/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/24/2015,11700,11700,N,CORBIN,AVE,$738300.00,5857,1,2,OS-1XL,6523,12,
12014-10000-04184,Issued,02/26/2013 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,02/26/2013,13511,13511,W,RAND,DR,$120000.00,2373,0,2,R1-1,810,5,"(34.14187, -118.42701)"
14014-20000-05561,Issued,04/28/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/28/2015,1284,1284,N,MONUMENT,ST,$550000.00,4688.58,0,2,R1-1,3346.75,11,"(34.05334, -118.52404)"
15014-70000-01108,Issued,06/04/2015 12:00:00 AM,Bldg-Addition,Apartment,06/04/2015,1855,1855,S,MANSFIELD,AVE,$5200.00,260,0,2,RD1.5-1-O,260,10,"(34.04124, -118.34847)"
14014-10000-00299,Issued,01/13/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,01/13/2015,22131,22131,W,TIARA,ST,$50000.00,2273,0,1,RS-1,418,3,"(34.17845, -118.60894)"
13010-20000-03467,Issued,12/12/2013 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/12/2013,307,307,N,SALTAIR,AVE,$6000.00,295,,1,RE15-1,295,11,"(34.06729, -118.47448)"
13010-20000-03787,Issued,03/18/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/18/2016,10255,10255,,ANGEL,LANE,$185000.00,1489,1,2,(Q)RD3-1,1911,7,
14014-10000-00675,Issued,04/24/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/24/2014,10228,10228,W,MONTE MAR,DR,$304000.00,3464,,2,R1-1-O,1176,5,"(34.04314, -118.4063)"
13010-10000-03647,Issued,07/10/2014 12:00:00 AM,Bldg-New,Commercial,07/10/2014,6417,6417,W,SELMA,AVE,$16100000.00,79409,,10,(T)(Q)C4-2D,103756,13,"(34.09988, -118.3301)"
14010-30000-01683,Issued,12/29/2014 12:00:00 AM,Bldg-New,Apartment,12/29/2014,1900,1900,S,SAWTELLE,BLVD,$6797000.00,39207,52,5,C2-1VL,63932,11,"(34.04236, -118.44464)"
15014-20000-03216,Issued,07/16/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/16/2015,13106,13106,W,RANGOON,ST,$27000.00,422,,1,R1-1,471,6,"(34.23393, -118.41812)"
15010-20000-02566,Issued,07/20/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,07/20/2015,16746,16746,W,TUPPER,ST,$3000.00,240,,1,RS-1,240,12,"(34.23924, -118.49729)"
15010-70000-03958,Issued,12/22/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,12/22/2015,1421,1421,W,46TH,ST,$218000.00,2184,1,2,R1-1,2184,8,"(34.00201, -118.30091)"
14010-10000-02370,Issued,05/12/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/12/2015,2211,2211,N,GLENDALE,BLVD,$24750.00,0,,1,RD2-1VL,403,13,"(34.09492, -118.25937)"
14014-70000-03731,Issued,04/06/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/06/2015,1565,1565,W,37TH,PL,$50000.00,490,0,1,R2-1-O,490,8,"(34.02011, -118.3051)"
14014-30000-04515,Issued,10/30/2014 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/30/2014,2571,2571,S,WELLESLEY,AVE,$80000.00,333,0,1,R1-1,333,11,"(34.02446, -118.44881)"
15014-40000-04466,Issued,10/02/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,10/02/2015,13645,13645,W,CHANDLER,BLVD,$50000.00,2183,0,1,R1-1,270,4,"(34.16871, -118.43044)"
15010-10000-01180,Issued,10/13/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,10/13/2015,9629,9629,W,KIRKSIDE,ROAD,$460000.00,3951,1,2,R1-1-O,4571,5,"(34.04852, -118.39801)"
14010-10000-03968,Issued,09/29/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,09/29/2015,2874,2874,N,ALLESANDRO,ST,$185000.00,1611,1,2,R2-1VL-RIO,2013,13,
13010-10000-02904,Issued,07/10/2014 12:00:00 AM,Bldg-New,Commercial,07/10/2014,6344,6344,N,TOPANGA CANYON,BLVD,$7989000.00,54505,,2,WC,51787,3,"(34.18628, -118.60544)"
14010-10000-01967,Issued,05/05/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/05/2015,319,319,S,SERRANO,AVE,$199318.00,1803,1,3,R3-1,2116,10,"(34.06833, -118.30692)"
15014-40000-03297,Issued,09/22/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,09/22/2015,7728,7728,S,HENEFER,AVE,$194000.00,3517,,2,R1-1,2011,11,"(33.97219, -118.40333)"
14014-20002-05560,Issued,12/16/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,12/16/2015,10535,10535,W,VESTONE,WAY,$19200.00,8061,0,2,RE20-1-H,176,5,"(34.1003, -118.44961)"
14014-30001-00435,Issued,04/15/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/15/2015,14945,14945,W,HESBY,ST,$27000.00,265,,2,R1-1,265,4,"(34.16228, -118.45908)"
16010-20000-00764,Issued,03/16/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,03/16/2016,13530,13530,W,BEAVER,ST,$39000.00,647,,1,RA-1,647,7,"(34.31275, -118.42736)"
14010-30000-01148,Issued,07/29/2015 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,07/29/2015,1015,1015,N,CASIANO,ROAD,$40000.00,0,0,2,RE15-1-H,440,5,"(34.08102, -118.47067)"
16014-20000-01063,Issued,03/15/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,03/15/2016,7613,7613,N,ETHEL,AVE,$15000.00,172,,0,RA-1,172,2,"(34.2088, -118.41793)"
10010-10000-02539,Issued,05/08/2014 12:00:00 AM,Bldg-New,Apartment,05/08/2014,11962,11962,W,GORHAM,AVE,$1453877.00,8603,4,3,[T][Q]RD1.5-1,16106,11,"(34.05008, -118.47063)"
15010-30000-04698,Issued,04/08/2016 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,04/08/2016,466,466,N,BUNDY,DR,$1129000.00,6148,1,2,RE15-1,6666,11,"(34.0675, -118.47592)"
13010-20000-04478,Issued,05/11/2015 12:00:00 AM,Bldg-New,1 or 2 Family Dwelling,05/11/2015,4411,4411,N,LEMP,AVE,$163000.00,1407,1,3,R3-1,1738,2,"(34.15077, -118.38458)"
16014-20000-00329,Issued,04/01/2016 12:00:00 AM,Bldg-Addition,1 or 2 Family Dwelling,04/01/2016,4555,4555,N,DENSMORE,AVE,$13000.00,582,,0,R1-1,582,5,"(34.15405, -118.4777)"
15014-30000-05530,Issued,02/18/2016 12:00:00 AM,Bldg-Addition,Commercial,02/18/2016,3848,3864,S,CRENSHAW,BLVD,$350000.00,29205,,2,[Q]C2-1,1223,10,"(34.01604, -118.33474)"
